ID,Gene
0,Q0050
2050,YNL290W
3,YAL007C
2053,YNL302C
2059,YNL314W
2060,YNL315C
2062,YNL323W
15,YAL035W
2067,YNR007C
2068,YNR009W
2069,YNR013C
27,YAL059W
32,YAR003W
2083,YNR046W
2086,YNR051C
2087,YNR052C
40,YBL002W
42,YBL005W
44,YBL011W
2092,YOL002C
46,YBL017C
48,YBL021C
50,YBL024W
2100,YOL021C
55,YBL032W
2104,YOL028C
57,YBL036C
2107,YOL039W
2108,YOL040C
64,YBL051C
68,YBL068W
69,YBL072C
73,YBL091C
74,YBL092W
2121,YOL067C
2125,YOL081W
78,YBL103C
2127,YOL083W
2128,YOL086C
2132,YOL103W
86,YBR015C
89,YBR021W
2137,YOL116W
2139,YOL120C
2141,YOL122C
2143,YOL124C
98,YBR037C
2148,YOL136C
2155,YOR001W
112,YBR068C
117,YBR079C
2168,YOR028C
2169,YOR032C
126,YBR103W
135,YBR121C
2184,YOR070C
137,YBR126C
140,YBR130C
2188,YOR084W
2197,YOR099W
153,YBR159W
2203,YOR115C
164,YBR181C
165,YBR182C
2212,YOR133W
2214,YOR140W
168,YBR189W
169,YBR191W
170,YBR196C
2218,YOR148C
2219,YOR150W
2222,YOR155C
2227,YOR163W
2229,YOR165W
2230,YOR167C
183,YBR239C
2233,YOR175C
186,YBR243C
2236,YOR182C
2241,YOR197W
2248,YOR220W
2254,YOR229W
2256,YOR232W
209,YBR297W
211,YCL001W
2259,YOR239W
2260,YOR241W
2261,YOR244W
217,YCL017C
223,YCL037C
2272,YOR267C
2273,YOR270C
2274,YOR271C
228,YCL047C
2276,YOR273C
2278,YOR278W
2280,YOR283W
2285,YOR293W
2286,YOR294W
240,YCR011C
2289,YOR310C
242,YCR017C
2291,YOR312C
247,YCR031C
253,YCR059C
255,YCR065W
258,YCR084C
261,YCR094W
262,YCR095C
2309,YOR358W
265,YDL006W
267,YDL010W
2319,YPL001W
272,YDL019C
278,YDL040C
2327,YPL023C
282,YDL049C
2335,YPL038W
288,YDL056W
291,YDL064W
2345,YPL063W
300,YDL081C
2348,YPL075W
2350,YPL079W
2352,YPL082C
305,YDL088C
306,YDL090C
307,YDL091C
2353,YPL086C
2355,YPL089C
2356,YPL090C
314,YDL106C
316,YDL113C
317,YDL115C
2365,YPL106C
2371,YPL127C
2372,YPL128C
326,YDL127W
2374,YPL131W
328,YDL130W
332,YDL135C
2382,YPL151C
2383,YPL152W
2388,YPL160W
