ID,Gene
1330,YJR060W
1424,YKL112W
105,YBR049C
11,YAL025C
22,YAL044C
1511,YKR099W
467,YDR207C
28,YAL060W
29,YAL061W
35,YAR015W
314,YDL106C
43,YBL007C
57,YBL036C
64,YBL051C
71,YBL078C
73,YBL091C
775,YFR034C
121,YBR086C
122,YBR087W
124,YBR093C
156,YBR165W
173,YBR207W
825,YGL071W
2402,YPL202C
179,YBR222C
1778,YMR019W
189,YBR248C
195,YBR262C
205,YBR290W
206,YBR291C
212,YCL002C
213,YCL005W
220,YCL030C
230,YCL054W
232,YCL057W
240,YCR011C
254,YCR061W
265,YDL006W
266,YDL007W
268,YDL012C
272,YDL019C
304,YDL086W
321,YDL122W
331,YDL134C
335,YDL140C
342,YDL157C
357,YDL188C
369,YDL213C
371,YDL217C
372,YDL224C
373,YDL226C
380,YDR002W
382,YDR006C
385,YDR019C
386,YDR023W
393,YDR035W
428,YDR100W
429,YDR101C
433,YDR119W
452,YDR165W
465,YDR194C
503,YDR283C
508,YDR296W
516,YDR319C
520,YDR330W
522,YDR335W
531,YDR361C
554,YDR408C
556,YDR411C
560,YDR427W
562,YDR434W
569,YDR452W
572,YDR456W
576,YDR465C
583,YDR483W
589,YDR496C
615,YEL012W
621,YEL026W
632,YEL042W
666,YER037W
675,YER055C
685,YER072W
689,YER079W
690,YER080W
701,YER099C
705,YER107C
708,YER115C
714,YER122C
728,YER145C
730,YER148W
735,YER156C
746,YFL004W
748,YFL010C
752,YFL018C
754,YFL022C
760,YFL041W
777,YFR041C
783,YFR051C
798,YGL019W
799,YGL020C
810,YGL038C
812,YGL040C
823,YGL068W
824,YGL070C
834,YGL100W
840,YGL120C
849,YGL148W
859,YGL186C
866,YGL198W
869,YGL207W
881,YGL232W
882,YGL234W
888,YGL250W
913,YGR054W
916,YGR061C
920,YGR077C
921,YGR078C
929,YGR094W
944,YGR128C
962,YGR178C
966,YGR185C
968,YGR187C
973,YGR195W
975,YGR200C
991,YGR232W
994,YGR235C
996,YGR243W
1003,YGR253C
1008,YGR262C
1009,YGR264C
1012,YGR280C
1024,YHL011C
1030,YHL031C
1049,YHR025W
1050,YHR026W
1058,YHR041C
1070,YHR066W
1080,YHR089C
1087,YHR099W
1098,YHR132C
1099,YHR135C
1102,YHR138C
1108,YHR147C
1113,YHR170W
1133,YHR215W
1135,YIL003W
1145,YIL033C
1147,YIL035C
1175,YIL090W
1178,YIL103W
1186,YIL116W
1193,YIL127C
1199,YIL145C
1200,YIL146C
1214,YIR022W
1231,YJL004C
1233,YJL012C
1236,YJL033W
1244,YJL053W
1250,YJL069C
1267,YJL117W
1271,YJL130C
1274,YJL138C
1276,YJL143W
1280,YJL149W
1282,YJL154C
1283,YJL155C
1286,YJL161W
1294,YJL174W
1309,YJR002W
1316,YJR014W
1328,YJR058C
1331,YJR063W
1333,YJR065C
1344,YJR093C
1364,YJR142W
1371,YKL004W
1372,YKL005C
1395,YKL041W
1404,YKL063C
1411,YKL081W
1420,YKL103C
1438,YKL146W
1441,YKL154W
1448,YKL167C
1451,YKL176C
1459,YKL191W
1463,YKL198C
1481,YKR026C
1489,YKR052C
1503,YKR080W
1513,YLL008W
1525,YLL039C
1529,YLL051C
1530,YLL055W
1534,YLR007W
1543,YLR028C
1545,YLR033W
1556,YLR058C
1557,YLR060W
1558,YLR061W
1581,YLR114C
1600,YLR172C
1611,YLR192C
1615,YLR197W
1626,YLR225C
1652,YLR297W
1658,YLR314C
1675,YLR356W
1676,YLR359W
1689,YLR405W
1691,YLR409C
1700,YLR437C
1702,YLR439W
1716,YML019W
1737,YML067C
1748,YML092C
1754,YML105C
1761,YML123C
1765,YML129C
1780,YMR022W
1795,YMR049C
1796,YMR054W
1798,YMR058W
1803,YMR073C
1817,YMR120C
1821,YMR130W
1836,YMR170C
1848,YMR189W
1858,YMR203W
1860,YMR208W
1863,YMR216C
1871,YMR236W
1890,YMR281W
1893,YMR290C
1894,YMR291W
1898,YMR297W
1900,YMR300C
1901,YMR302C
1906,YMR310C
1930,YNL041C
1940,YNL059C
1941,YNL062C
