ID,Gene
1213,YIR018W
288,YDL056W
707,YER111C
826,YGL073W
1131,YHR206W
1688,YLR403W
1194,YIL131C
1787,YMR037C
2226,YOR162C
1383,YKL020C
1212,YIR017C
2104,YOL028C
2335,YPL038W
1077,YHR084W
2312,YOR363C
444,YDR146C
1587,YLR131C
1777,YMR016C
42,YBL005W
1946,YNL068C
2016,YNL199C
2348,YPL075W
258,YCR084C
1923,YNL027W
1838,YMR172W
467,YDR207C
474,YDR216W
1889,YMR280C
1096,YHR124W
2485,YPR104C
209,YBR297W
2437,YPL248C
120,YBR083W
314,YDL106C
1001,YGR249W
436,YDR123C
2168,YOR028C
2375,YPL133C
667,YER040W
1215,YIR023W
1707,YLR451W
2137,YOL116W
1380,YKL015W
48,YBL021C
2309,YOR358W
24,YAL051W
1116,YHR178W
1392,YKL038W
775,YFR034C
1246,YJL056C
1627,YLR228C
78,YBL103C
183,YBR239C
601,YDR520C
1801,YMR070W
1256,YJL089W
1778,YMR019W
1843,YMR182C
2059,YNL314W
756,YFL031W
472,YDR213W
2121,YOL067C
740,YER169W
1603,YLR176C
1834,YMR164C
2169,YOR032C
575,YDR463W
558,YDR421W
559,YDR423C
1751,YML099C
491,YDR259C
515,YDR310C
808,YGL035C
1537,YLR014C
2129,YOL089C
909,YGR044C
165,YBR182C
