ID,Gene
1,YAL003W
2,YAL005C
4,YAL008W
5,YAL012W
6,YAL013W
7,YAL014C
8,YAL016W
9,YAL022C
10,YAL023C
11,YAL025C
12,YAL030W
13,YAL033W
14,YAL034C
16,YAL036C
17,YAL038W
18,YAL039C
19,YAL040C
20,YAL041W
21,YAL042W
22,YAL044C
23,YAL049C
25,YAL053W
26,YAL054C
28,YAL060W
29,YAL061W
30,YAL062W
31,YAR002W
33,YAR007C
34,YAR008W
35,YAR015W
36,YAR018C
37,YAR027W
38,YAR031W
39,YBL001C
41,YBL003C
43,YBL007C
45,YBL015W
47,YBL018C
49,YBL022C
51,YBL026W
52,YBL027W
53,YBL028C
54,YBL030C
56,YBL033C
58,YBL038W
59,YBL039C
60,YBL040C
61,YBL041W
62,YBL042C
63,YBL045C
65,YBL056W
66,YBL057C
67,YBL064C
70,YBL076C
71,YBL078C
72,YBL087C
75,YBL093C
76,YBL099W
77,YBL102W
79,YBR001C
80,YBR005W
81,YBR006W
82,YBR009C
83,YBR010W
84,YBR011C
85,YBR014C
87,YBR016W
88,YBR017C
90,YBR024W
91,YBR025C
92,YBR026C
93,YBR029C
94,YBR031W
95,YBR034C
96,YBR035C
97,YBR036C
99,YBR038W
100,YBR039W
101,YBR041W
102,YBR043C
103,YBR046C
104,YBR048W
105,YBR049C
106,YBR050C
107,YBR052C
108,YBR053C
109,YBR056W
110,YBR057C
111,YBR067C
113,YBR070C
114,YBR071W
115,YBR072W
116,YBR078W
118,YBR080C
119,YBR082C
121,YBR086C
122,YBR087W
123,YBR088C
124,YBR093C
125,YBR101C
127,YBR104W
128,YBR105C
129,YBR106W
130,YBR109C
131,YBR110W
132,YBR111C
133,YBR115C
134,YBR118W
136,YBR122C
138,YBR127C
139,YBR129C
141,YBR135W
142,YBR137W
143,YBR139W
144,YBR143C
145,YBR145W
146,YBR146W
147,YBR147W
148,YBR149W
149,YBR151W
150,YBR153W
151,YBR154C
152,YBR158W
154,YBR160W
155,YBR162C
156,YBR165W
157,YBR166C
158,YBR167C
159,YBR169C
160,YBR171W
161,YBR172C
162,YBR173C
163,YBR177C
166,YBR183W
167,YBR185C
171,YBR199W
172,YBR202W
173,YBR207W
174,YBR208C
175,YBR212W
176,YBR214W
177,YBR218C
178,YBR221C
179,YBR222C
180,YBR230C
181,YBR234C
182,YBR236C
184,YBR241C
185,YBR242W
187,YBR244W
188,YBR247C
189,YBR248C
190,YBR249C
191,YBR251W
192,YBR252W
193,YBR254C
194,YBR256C
195,YBR262C
196,YBR263W
197,YBR265W
198,YBR268W
199,YBR269C
200,YBR272C
201,YBR282W
202,YBR283C
203,YBR286W
204,YBR287W
205,YBR290W
206,YBR291C
207,YBR294W
208,YBR296C
210,YBR298C
212,YCL002C
213,YCL005W
214,YCL009C
215,YCL011C
216,YCL012C
218,YCL018W
219,YCL028W
220,YCL030C
221,YCL034W
222,YCL035C
224,YCL038C
225,YCL040W
226,YCL043C
227,YCL045C
229,YCL050C
230,YCL054W
231,YCL056C
232,YCL057W
233,YCL059C
234,YCL063W
235,YCR002C
236,YCR004C
237,YCR005C
238,YCR009C
239,YCR010C
241,YCR012W
243,YCR021C
244,YCR023C
245,YCR028C
246,YCR030C
248,YCR034W
249,YCR037C
250,YCR046C
251,YCR053W
252,YCR057C
254,YCR061W
256,YCR069W
257,YCR079W
259,YCR088W
260,YCR093W
263,YDL001W
264,YDL004W
266,YDL007W
268,YDL012C
269,YDL014W
270,YDL015C
271,YDL018C
274,YDL021W
275,YDL022W
276,YDL025C
277,YDL029W
279,YDL045C
280,YDL046W
281,YDL048C
283,YDL051W
284,YDL052C
285,YDL053C
286,YDL054C
287,YDL055C
289,YDL061C
290,YDL063C
292,YDL066W
293,YDL067C
294,YDL070W
295,YDL072C
296,YDL074C
297,YDL075W
298,YDL076C
299,YDL078C
301,YDL082W
302,YDL083C
303,YDL084W
304,YDL086W
308,YDL092W
309,YDL095W
310,YDL097C
311,YDL099W
312,YDL100C
313,YDL103C
315,YDL110C
318,YDL117W
319,YDL120W
320,YDL121C
321,YDL122W
322,YDL123W
323,YDL124W
324,YDL125C
325,YDL126C
327,YDL128W
329,YDL131W
330,YDL133W
331,YDL134C
333,YDL136W
334,YDL137W
335,YDL140C
336,YDL142C
337,YDL143W
338,YDL145C
339,YDL147W
340,YDL148C
342,YDL157C
343,YDL165W
344,YDL167C
345,YDL168W
346,YDL169C
347,YDL170W
348,YDL171C
349,YDL174C
350,YDL178W
351,YDL179W
352,YDL180W
353,YDL181W
354,YDL182W
356,YDL185W
357,YDL188C
363,YDL198C
364,YDL201W
365,YDL204W
367,YDL208W
369,YDL213C
370,YDL215C
373,YDL226C
374,YDL229W
376,YDL235C
377,YDL236W
378,YDL237W
379,YDR001C
380,YDR002W
381,YDR005C
383,YDR011W
384,YDR012W
385,YDR019C
388,YDR028C
389,YDR031W
390,YDR032C
391,YDR033W
392,YDR034C
393,YDR035W
394,YDR037W
395,YDR041W
396,YDR043C
397,YDR044W
399,YDR047W
401,YDR051C
402,YDR055W
403,YDR059C
407,YDR063W
408,YDR064W
409,YDR067C
410,YDR068W
411,YDR070C
412,YDR071C
413,YDR072C
414,YDR073W
417,YDR077W
418,YDR078C
419,YDR079W
420,YDR084C
421,YDR086C
423,YDR090C
425,YDR092W
426,YDR098C
427,YDR099W
428,YDR100W
429,YDR101C
430,YDR105C
432,YDR116C
433,YDR119W
434,YDR120C
437,YDR127W
438,YDR129C
439,YDR135C
440,YDR139C
441,YDR142C
445,YDR148C
448,YDR152W
449,YDR155C
450,YDR156W
451,YDR158W
452,YDR165W
454,YDR168W
455,YDR169C
457,YDR171W
458,YDR172W
459,YDR174W
460,YDR175C
461,YDR177W
462,YDR178W
463,YDR182W
464,YDR190C
465,YDR194C
466,YDR202C
468,YDR208W
469,YDR210W
470,YDR211W
471,YDR212W
473,YDR214W
475,YDR222W
477,YDR225W
478,YDR226W
479,YDR231C
480,YDR232W
481,YDR233C
482,YDR234W
483,YDR236C
485,YDR244W
486,YDR245W
488,YDR251W
490,YDR258C
493,YDR261C
494,YDR262W
495,YDR266C
496,YDR267C
497,YDR272W
499,YDR276C
500,YDR279W
501,YDR280W
502,YDR281C
503,YDR283C
504,YDR284C
505,YDR286C
506,YDR287W
507,YDR294C
509,YDR297W
510,YDR298C
512,YDR302W
513,YDR304C
514,YDR309C
516,YDR319C
517,YDR321W
518,YDR322W
519,YDR328C
521,YDR333C
523,YDR339C
524,YDR341C
525,YDR342C
526,YDR343C
527,YDR345C
530,YDR354W
531,YDR361C
533,YDR366C
534,YDR367W
535,YDR368W
536,YDR372C
537,YDR373W
538,YDR376W
539,YDR377W
540,YDR378C
541,YDR381W
542,YDR382W
543,YDR384C
544,YDR385W
545,YDR388W
546,YDR391C
547,YDR393W
548,YDR394W
551,YDR399W
552,YDR404C
553,YDR405W
554,YDR408C
556,YDR411C
560,YDR427W
561,YDR429C
564,YDR441C
566,YDR449C
568,YDR451C
569,YDR452W
570,YDR453C
572,YDR456W
573,YDR457W
574,YDR458C
576,YDR465C
577,YDR468C
578,YDR471W
580,YDR476C
581,YDR477W
582,YDR479C
583,YDR483W
584,YDR486C
585,YDR487C
586,YDR492W
587,YDR493W
589,YDR496C
590,YDR497C
591,YDR500C
592,YDR502C
593,YDR508C
594,YDR510W
595,YDR512C
596,YDR513W
597,YDR516C
598,YDR517W
599,YDR518W
600,YDR519W
602,YDR527W
603,YDR529C
605,YDR531W
606,YDR533C
607,YDR539W
610,YEL005C
611,YEL006W
612,YEL007W
614,YEL011W
615,YEL012W
616,YEL013W
617,YEL015W
618,YEL017W
620,YEL024W
621,YEL026W
622,YEL027W
623,YEL031W
624,YEL032W
625,YEL033W
626,YEL034W
627,YEL036C
628,YEL037C
629,YEL038W
630,YEL039C
631,YEL040W
632,YEL042W
633,YEL044W
634,YEL046C
635,YEL050C
636,YEL051W
637,YEL052W
638,YEL054C
640,YEL056W
641,YEL058W
642,YEL060C
644,YEL071W
646,YER001W
647,YER002W
649,YER004W
651,YER009W
652,YER010C
653,YER012W
655,YER020W
656,YER021W
658,YER024W
659,YER025W
660,YER026C
661,YER027C
