ID,Gene_Name,In_Degree,Out_Degree
0,Q0050,1,0
1,YAL003W,10,0
2,YAL005C,10,0
3,YAL007C,5,0
4,YAL008W,4,0
5,YAL012W,9,0
6,YAL013W,2,0
7,YAL014C,2,0
8,YAL016W,7,0
9,YAL022C,5,0
10,YAL023C,7,0
11,YAL025C,4,0
12,YAL030W,2,0
13,YAL033W,2,0
14,YAL034C,4,0
15,YAL035W,4,0
16,YAL036C,7,0
17,YAL038W,10,0
18,YAL039C,8,0
19,YAL040C,5,0
20,YAL041W,2,0
21,YAL042W,2,0
22,YAL044C,10,0
23,YAL049C,5,0
24,YAL051W,0,56
25,YAL053W,6,0
26,YAL054C,5,0
27,YAL059W,2,0
28,YAL060W,11,0
29,YAL061W,7,0
30,YAL062W,3,0
31,YAR002W,6,0
32,YAR003W,2,0
33,YAR007C,3,0
34,YAR008W,2,0
35,YAR015W,9,0
36,YAR018C,5,0
37,YAR027W,7,0
38,YAR031W,1,0
39,YBL001C,6,0
40,YBL002W,7,0
41,YBL003C,8,0
42,YBL005W,0,13
43,YBL007C,2,0
44,YBL011W,2,0
45,YBL015W,8,0
46,YBL017C,1,0
47,YBL018C,2,0
48,YBL021C,0,28
49,YBL022C,1,0
50,YBL024W,3,0
51,YBL026W,3,0
52,YBL027W,5,0
53,YBL028C,6,0
54,YBL030C,6,0
55,YBL032W,3,0
56,YBL033C,4,0
57,YBL036C,1,0
58,YBL038W,3,0
59,YBL039C,4,0
60,YBL040C,2,0
61,YBL041W,3,0
62,YBL042C,21,0
63,YBL045C,5,0
64,YBL051C,1,0
65,YBL056W,3,0
66,YBL057C,1,0
67,YBL064C,13,0
68,YBL068W,2,0
69,YBL072C,6,0
70,YBL076C,8,0
71,YBL078C,4,0
72,YBL087C,6,0
73,YBL091C,1,0
74,YBL092W,5,0
75,YBL093C,6,0
76,YBL099W,3,0
77,YBL102W,3,0
78,YBL103C,0,19
79,YBR001C,2,0
80,YBR005W,5,0
81,YBR006W,10,0
82,YBR009C,9,0
83,YBR010W,8,0
84,YBR011C,5,0
85,YBR014C,1,0
86,YBR015C,3,0
87,YBR016W,5,0
88,YBR017C,2,0
89,YBR021W,4,0
90,YBR024W,1,0
91,YBR025C,6,0
92,YBR026C,1,0
93,YBR029C,5,0
94,YBR031W,5,0
95,YBR034C,5,0
96,YBR035C,2,0
97,YBR036C,7,0
98,YBR037C,1,0
99,YBR038W,11,0
100,YBR039W,8,0
101,YBR041W,2,0
102,YBR043C,2,0
103,YBR046C,4,0
104,YBR048W,6,0
105,YBR049C,4,95
106,YBR050C,2,0
107,YBR052C,14,0
108,YBR053C,11,0
109,YBR056W,12,0
110,YBR057C,3,0
