ID,Gene
1422,YKL109W
65,YBL056W
883,YGL237C
76,YBL099W
48,YBL021C
100,YBR039W
2309,YOR358W
142,YBR137W
601,YDR520C
146,YBR146W
158,YBR167C
167,YBR185C
187,YBR244W
1843,YMR182C
236,YCR004C
249,YCR037C
250,YCR046C
293,YDL067C
303,YDL084W
319,YDL120W
322,YDL123W
327,YDL128W
348,YDL171C
353,YDL181W
390,YDR032C
419,YDR079W
445,YDR148C
463,YDR182W
469,YDR210W
480,YDR232W
483,YDR236C
497,YDR272W
510,YDR298C
518,YDR322W
584,YDR486C
603,YDR529C
635,YEL050C
646,YER001W
2129,YOL089C
649,YER004W
679,YER063W
724,YER141W
729,YER146W
745,YER183C
758,YFL038C
767,YFR011C
781,YFR049W
863,YGL191W
889,YGL252C
957,YGR167W
960,YGR174C
965,YGR183C
979,YGR204W
984,YGR215W
993,YGR234W
997,YGR244C
1035,YHL048W
1064,YHR051W
1093,YHR121W
1097,YHR128W
1142,YIL021W
1156,YIL050W
1176,YIL094C
1183,YIL109C
1204,YIL157C
1226,YIR037W
1230,YJL003W
1270,YJL124C
1289,YJL166W
1315,YJR011C
1339,YJR077C
1340,YJR080C
1355,YJR120W
1434,YKL141W
1445,YKL163W
1466,YKL207W
1479,YKR016W
1488,YKR049C
1514,YLL009C
1522,YLL027W
1526,YLL041C
1618,YLR203C
1619,YLR204W
1623,YLR219W
1649,YLR292C
1651,YLR295C
1677,YLR360W
2255,YOR230W
1680,YLR375W
1686,YLR395C
1722,YML030W
1744,YML078W
1756,YML110C
1759,YML120C
1794,YMR044W
1833,YMR157C
1880,YMR256C
1883,YMR261C
1926,YNL032W
1936,YNL052W
1949,YNL071W
1956,YNL084C
1982,YNL134C
2065,YNR001C
2153,YOL151W
2179,YOR061W
2183,YOR065W
2245,YOR209C
2247,YOR215C
2282,YOR286W
2331,YPL031C
2349,YPL078C
2380,YPL145C
2440,YPL262W
2443,YPL271W
2453,YPR020W
2467,YPR060C
2474,YPR073C
2492,YPR113W
2500,YPR138C
2503,YPR145W
2512,YPR166C
2521,YPR191W
