"ORF","Gene","Control Median","Control STD","Control Localization","Repeat 1 Median","Repeat 1 STD","Repeat 1 Localization","Repeat 2 Median","Repeat 2 STD","Repeat 2 Localization","DTT Median","DTT STD","DTT FoldChange","DTT Localization","H2O2 Median","H2O2 STD","H2O2 FoldChange","H2O2 Localization","Starvation Median","Starvation STD","Starvation FoldChange","Starvation Localization","Description"
"YOR367W","SCP1",13.5,3.77773921800813,"below threshold",11.380404,2.79231376295208,"below threshold","15.626505999999999","3.4229428303073801","below threshold","15.96","5.95","1.18","cytosol","17.55","3.6","1.3","cytosol","17.07","5.82","1.26","cytosol","Component of yeast cortical actin cytoskeleton, binds and cross links actin filaments; originally identified by its homology to calponin (contains a calponin-like repeat) but the Scp1p domain structure is more similar to transgelin"
"YOR090C","PTC5",13.23,3.86543009373646,"below threshold",11.549549,2.56694504011352,"below threshold","14.931034","3.8179460116410899","below threshold","19.399999999999999","8.27","1.46","cytosol","12.6","4.1900000000000004","0.95","cytosol","18.79","7.18","1.41","cytosol","Mitochondrial type 2C protein phosphatase involved in regulation of pyruvate dehydrogenase activity by dephosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinases Pkp1p and Pkp2p and phosphatase Ptc6p"
"YKR082W","NUP133",11.87,3.84268628034434,"below threshold",11.740741,3.05286665200894,"below threshold","12.015064000000001","4.2503072121603003","below threshold","16.38","5.09","1.37","cytosol","16.12","2.84","1.35","cytosol","NA","NA","NA","cytosol","Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC), localizes to both sides of the NPC, required to establish a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p"
"YLR368W","MDM30",13.29,3.54457933159316,"below threshold",12.0775775,3.59286677297295,"below threshold","14.517927999999999","3.0117613080464301","below threshold","16.98","6.33","1.27","cytosol","13.7","2.93","1.03","cytosol","19.690000000000001","3.83","1.48","cytosol","F-box protein; associates with mitochondria and has a role in mitochondrial fusion; stimulates nuclear export of specific mRNAs; promotes ubiquitin-mediated degradation of Gal4p in some strains"
"YPR096C","YPR096C",13.24,3.81852856998367,"below threshold",12.160211,3.89805027091933,"below threshold","14.339517499999999","3.4551215305593801","below threshold","16.88","5.96","1.27","cytosol","15.03","3.37","1.1299999999999999","cytosol","15.94","7.26","1.2","cytosol","Protein of unknown function that may interact with ribosomes, based on co-purification experiments"
"YGL211W","NCS6",14.1,3.3174180188489,"below threshold",12.169168,2.60603765652216,"below threshold","16.040817000000001","3.0638795322876202","below threshold","13.63","5.69","0.96","cytosol","15.92","3.53","1.1200000000000001","cytosol","23.18","11.63","1.64","cytosol","Protein required for thiolation of the uridine at the wobble position of Gln, Lys, and Glu tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae"
"YNR032C-A","HUB1",12.76,3.41337986211636,"below threshold",12.204545,3.10216952754019,"below threshold","13.3340675","3.63402789356905","below threshold","16.2","5.8","1.26","cytosol","14.43","3.28","1.1299999999999999","cytosol","17.3","6.12","1.35","cytosol","Ubiquitin-like protein modifier, may function in modification of Sph1p and Hbt1p, functionally complemented by the human or S. pombe ortholog; mechanism of Hub1p adduct formation not yet clear"
"YAL064W","YAL064W",12.61,3.72345819067726,"below threshold",12.205556,3.81276733055966,"below threshold","13.024929","3.6292748967795099","below threshold","15.93","5.94","1.26","cytosol","15.18","3.24","1.2","cytosol","18.010000000000002","9.82","1.42","cytosol","Protein of unknown function; may interact with ribosomes, based on co-purification experiments"
"YFR037C","RSC8",13.27,3.89446935865742,"below threshold",12.289527,3.94287483273437,"below threshold","14.260870000000001","3.6058248004323401","below threshold","17.75","6.35","1.33","cytosol","13.05","3.33","0.98","cytosol","14.76","3.07","1.1100000000000001","cytosol","Component of the RSC chromatin remodeling complex; essential for viability and mitotic growth; homolog of SWI/SNF subunit Swi3p, but unlike Swi3p, does not activate transcription of reporters"
"YLR156W","YLR156W",13.38,4.04751565183928,"below threshold",12.334951,3.97981392556303,"below threshold","14.433662500000001","3.9214153418456799","below threshold","17.22","5.68","1.28","cytosol","16.489999999999998","4.03","1.23","cytosol","17.86","10.52","1.33","cytosol","Putative protein of unknown function; exhibits a two-hybrid interaction with Jsn1p in a large-scale analysis"
"YAL045C","YAL045C",12.6,3.91825820847558,"below threshold",12.347671,3.48909926276234,"below threshold","12.8653175","4.1776251680686904","below threshold","15.76","5.93","1.25","cytosol","15.96","3.42","1.26","cytosol","16.899999999999999","8.58","1.34","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"
"YJL189W","RPL39",14.45,3.64564000228324,"below threshold",12.375,3.59963010836558,"below threshold","16.539749","2.1320673162992598","below threshold","15.32","5.87","1.05","cytosol","18.62","3.34","1.28","cytosol","15.33","6.21","1.06","cytosol","Protein component of the large (60S) ribosomal subunit, has similarity to rat L39 ribosomal protein; required for ribosome biogenesis; loss of both Rpl31p and Rpl39p confers lethality; also exhibits genetic interactions with SIS1 and PAB1"
"YAR030C","YAR030C",13.1,4.09927302241525,"below threshold",12.4108825,4.29582919705325,"below threshold","13.809825","3.7816088966509702","below threshold","15.5","6.52","1.18","cytosol","16.05","3.09","1.22","cytosol","15.99","8.2200000000000006","1.21","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9"
"YOR242C","SSP2",13.11,3.89581022883494,"below threshold",12.428044,3.84519071816017,"below threshold","13.8169825","3.8433995862075401","below threshold","15.75","4.99","1.2","cytosol","18.260000000000002","3.84","1.39","cytosol","27.35","5.7","2.08","cytosol","Sporulation specific protein that localizes to the spore wall; required for sporulation at a point after meiosis II and during spore wall formation; SSP2 expression is induced midway in meiosis"
"YMR052C-A","YMR052C-A",13.14,3.85372159971714,"below threshold",12.471331,3.88408214071747,"below threshold","13.814814999999999","3.7623985253779302","below threshold","15.77","5.61","1.2","cytosol","15.56","3.84","1.18","cytosol","16.72","9.81","1.27","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YDR199W","YDR199W",13.5,3.59389352954615,"below threshold",12.490385,3.50023409213565,"below threshold","14.513332999999999","3.4661166553658398","below threshold","16.829999999999998","6.61","1.24","cytosol","15.68","3.65","1.1599999999999999","cytosol","17.28","10.86","1.28","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene VPS64; computationally predicted to have thiol-disulfide oxidoreductase activity"
"YOL166C","YOL166C",12.73,3.60054115246731,"below threshold",12.5442795,3.39615036280769,"below threshold","12.933730499999999","3.7749457525781001","below threshold","16.5","5.4","1.29","cytosol","14.52","3.54","1.1299999999999999","cytosol","17.989999999999998","6.62","1.41","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YDL106C","PHO2",12.95,3.48523332187906,"below threshold",12.556603,3.32883928555558,"below threshold","13.35","3.5861465280219802","below threshold","16.47","6.56","1.27","cytosol","12.33","3.05","0.95","cytosol","18.88","6.13","1.45","cytosol","Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p"
"YPR037C","ERV2",14.8,3.46890994004486,"below threshold",12.5615075,3.21186444879764,"below threshold","17.0517875","2.78689260398493","below threshold","16.43","5.68","1.1000000000000001","cytosol","18.14","3.63","1.22","cytosol","15.53","5.84","1.04","cytosol","Flavin-linked sulfhydryl oxidase localized to the endoplasmic reticulum lumen, involved in disulfide bond formation within the ER"
"YOL157C","YOL157C",13.43,3.5733793062733,"below threshold",12.596491,3.31623447196539,"below threshold","14.2858155","3.6571309484272598","below threshold","16.39","5.79","1.21","cytosol","13.54","3.27","1","cytosol","16.52","6.67","1.22","cytosol","Putative protein of unknown function"
"YDR339C","FCF1",14.92,4.11381344418149,"below threshold",12.633859,3.58954680027589,"below threshold","17.220165999999999","3.6050929197952999","below threshold","15.82","6.17","1.05","cytosol","18.62","4.6399999999999997","1.24","cytosol","19.559999999999999","4.87","1.31","cytosol","Putative PINc domain nuclease required for early cleavages of 35S pre-rRNA and maturation of 18S rRNA; component of the SSU (small subunit) processome involved in 40S ribosomal subunit biogenesis; copurifies with Faf1p"
"YBL065W","YBL065W",13.73,3.42407134058863,"below threshold",12.691018,3.48916995216953,"below threshold","14.783334","3.0708117700147999","below threshold","17.329999999999998","6.04","1.26","cytosol","15.51","3.5","1.1200000000000001","cytosol","16.29","8.33","1.18","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF SEF1/YBL066C; YBL065W is a non-essential gene"
"YNR019W","ARE2",13.59,4.20955773745529,"below threshold",12.692307,4.44575412497366,"below threshold","14.490990999999999","3.64293706948986","below threshold","14.12","4.51","1.03","cytosol","16.13","2.62","1.18","cytosol","17.68","3.59","1.3","cytosol","Acyl-CoA:sterol acyltransferase, isozyme of Are1p; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen"
"YLR302C","YLR302C",14.08,4.31791696692929,"below threshold",12.692771,4.44169703888862,"below threshold","15.477451","3.6891316340991298","below threshold","18.13","6.69","1.28","cytosol","14.86","2.99","1.05","cytosol","15.44","5.18","1.0900000000000001","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YDR048C","YDR048C",13.13,4.16884921212147,"below threshold",12.753431,4.52362376375362,"below threshold","13.517647","3.47900215467789","below threshold","16.12","4.4000000000000004","1.22","cytosol","15.5","3.45","1.18","cytosol","19.579999999999998","8.16","1.49","cytosol","Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YLR236C","YLR236C",13.33,3.65145028161968,"below threshold",12.757946,3.32818196280346,"below threshold","13.9101395","3.89520476666338","below threshold","18.329999999999998","5.57","1.37","cytosol","16.61","3.8","1.24","cytosol","20.87","11.96","1.56","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YPR194C","OPT2",13.49,3.79317668842265,"below threshold",12.779503,3.63187412555141,"below threshold","14.2108355","3.8383498367450901","below threshold","14.62","4.46","1.08","cytosol","15.32","3.68","1.1299999999999999","cytosol","17.04","3.96","1.26","cytosol","Oligopeptide transporter; member of the OPT family, with potential orthologs in S. pombe and C. albicans; also plays a role in formation of mature vacuoles"
"YPL047W","SGF11",13.23,3.2263111694632,"below threshold",12.78534,3.3534497238516,"below threshold","13.682584","3.0248349711147902","below threshold","16.16","5.68","1.22","cytosol","13.54","2.67","1.02","cytosol","13.54","2.0299999999999998","1.02","cytosol","Integral subunit of SAGA histone acetyltransferase complex, regulates transcription of a subset of SAGA-regulated genes, required for the Ubp8p association with SAGA and for H2B deubiquitylation"
"YDR253C","MET32",14.6,4.02112014971058,"below threshold",12.8056665,3.63054032190816,"below threshold","16.414728","4.0978154153464397","below threshold","15.1","5.93","1.03","cytosol","17.29","4.05","1.18","cytosol","22.67","12.51","1.55","cytosol","Zinc-finger DNA-binding protein, involved in transcriptional regulation of the methionine biosynthetic genes, similar to Met31p"
"YBL072C","RPS8A",15.55,4.31711423041628,"below threshold",12.81132,3.53274749563076,"below threshold","18.308669999999999","3.6914371774436598","below threshold","15.9","5.87","1.02","cytosol","17.61","3.68","1.1299999999999999","cytosol","18.32","5.0199999999999996","1.17","cytosol","Protein component of the small (40S) ribosomal subunit; identical to Rps8Bp and has similarity to rat S8 ribosomal protein"
"YPL099C","AIM43",15.02,3.47312309334309,"below threshold",12.851744,2.18864764784499,"below threshold","17.197279000000002","3.0775922453421001","below threshold","16.59","6.98","1.1000000000000001","cytosol","18.920000000000002","3.81","1.25","cytosol","16.09","5.52","1.07","cytosol","Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"
"YCR006C","YCR006C",15.24,3.77607506768078,"below threshold",12.866797,2.82663897506876,"below threshold","17.623377000000001","3.4545728120152499","below threshold","14.32","5.58","0.93","cytosol","15.74","2.98","1.03","cytosol","19.79","2.74","1.29","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
"YLR031W","YLR031W",14.27,3.5841321991405,"below threshold",12.893617,3.48112273181304,"below threshold","15.660638000000001","3.25954440873587","below threshold","15.31","5.07","1.07","cytosol","16.2","4.08","1.1299999999999999","cytosol","23.37","5.73","1.63","cytosol","Putative protein of unknown function"
"YGR064W","YGR064W",13.63,3.78245765514447,"below threshold",12.939623,4.00813269489054,"below threshold","14.339295999999999","3.53960868278521","below threshold","17.579999999999998","5.48","1.28","cytosol","17.239999999999998","3.26","1.26","cytosol","15.96","4.76","1.17","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SPT4/YGR063C"
"YNL017C","YNL017C",14.04,3.54731259163622,"below threshold",12.9775045,3.54508944882814,"below threshold","15.121323500000001","3.2665751834484098","below threshold","16.690000000000001","5.94","1.18","cytosol","15.58","3.64","1.1000000000000001","cytosol","18.91","4.1500000000000004","1.34","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the tRNA ORF tI(AAU)N2"
"YMR257C","PET111",13.93,4.25670914037611,"below threshold",13.000682,4.25337688581769,"below threshold","14.863799500000001","4.0608116790965898","below threshold","14.41","4.41","1.03","cytosol","15.1","3.19","1.08","cytosol","17.059999999999999","4.92","1.22","cytosol","Mitochondrial translational activator specific for the COX2 mRNA; located in the mitochondrial inner membrane"
"YGR035C","YGR035C",14.03,3.62917751411848,"below threshold",13.0049795,3.74995843743622,"below threshold","15.0658835","3.2855693252054601","below threshold","16.12","6.63","1.1399999999999999","cytosol","17.23","3.61","1.22","cytosol","17.04","8.4700000000000006","1.21","cytosol","Putative protein of unknown function, potential Cdc28p substrate; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance"
"YIL163C","YIL163C",13.01,3.57031868432072,"below threshold",13.0152025,3.4952701025784,"below threshold","13.021127","3.6698388124829902","below threshold","17.98","5.31","1.38","cytosol","15.81","3.99","1.21","cytosol","16.71","7.04","1.28","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YMR082C","YMR082C",14.43,3.74823830020776,"below threshold",13.0351315,3.23107860325989,"below threshold","15.840795999999999","3.8201566135248699","below threshold","16.46","6.18","1.1399999999999999","cytosol","16.510000000000002","3.55","1.1399999999999999","cytosol","18.48","3.74","1.28","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YDL159W-A","YDL159W-A",13.47,4.3865313681236,"below threshold",13.043554,4.06779131257851,"below threshold","13.902120999999999","4.5349836258498097","below threshold","15.77","4.54","1.17","cytosol","16.36","3.6","1.21","cytosol","14.83","6.67","1.1000000000000001","cytosol","Putative protein of unknown function; identified by sequence comparison with hemiascomycetous yeast species"
"YGR039W","YGR039W",13.6,3.73732056435715,"below threshold",13.117846,3.79237376405624,"below threshold","14.092682999999999","3.6400004080198101","below threshold","18.5","5.58","1.36","cytosol","16.98","3.06","1.24","cytosol","17.05","6.75","1.25","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the Autonomously Replicating Sequence ARS722"
"YGL217C","YGL217C",13.55,3.85872624905758,"below threshold",13.1251135,3.72735818139545,"below threshold","13.987368999999999","3.9631136360835701","below threshold","17.05","5.86","1.25","cytosol","14.74","3.24","1.08","cytosol","18.43","9.01","1.35","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF KIP3/YGL216W"
"YOR277C","YOR277C",13.31,3.44043791792034,"below threshold",13.19838,3.41567456320351,"below threshold","13.441065","3.45961322768777","below threshold","15.92","5.6","1.19","cytosol","14.82","2.69","1.1100000000000001","cytosol","15.01","2.95","1.1200000000000001","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene CAF20"
"YAL069W","YAL069W",13.33,3.91008451385115,"below threshold",13.204374,4.22391084779379,"below threshold","13.46161","3.6904242310301201","below threshold","16.13","5.05","1.21","cytosol","13.03","3.66","0.97","cytosol","17.190000000000001","5.32","1.28","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
"YKL051W","SFK1",13.22,4.01507845314923,"below threshold",13.2068015,4.37713734292151,"below threshold","13.241936000000001","3.18898031521221","below threshold","13.74","4.2699999999999996","1.03","cytosol","14.71","2.29","1.1100000000000001","cytosol","14.26","3.15","1.07","cytosol","Plasma membrane protein that may act together with or upstream of Stt4p to generate normal levels of the essential phospholipid PI4P, at least partially mediates proper localization of Stt4p to the plasma membrane"
