ORF,Gene,STD.MedianNormalized
YNL145W,MFA2,43.3163935667488
YOR164C,GET4,18.0029255566031
YHL034C,SBP1,3.01053633827114
YGR180C,RNR4,2.49251439026993
YFL014W,HSP12,2.06606626213845
YNR034W-A,YNR034W-A,1.94357611276419
YHL039W,YHL039W,1.87717842986815
YGR088W,NA,1.69079433511591
YDL182W,LYS20,1.55133959912529
YMR105C,PGM2,1.47725833748002
YMR173W,DDR48,1.4236339967783
YML128C,MSC1,1.41192050252293
YPR035W,GLN1,1.40132815610592
YPR160W,GPH1,1.32964571915935
YOR303W,CPA1,1.28440117257766
