"ORF","MEAN","MEDIAN","STD","IQR","STD.MeanNormalized","STD.MedianNormalized","IQR.MedianNormalized","FractionOutliers"
"YMR116C",6112.30677290837,5887,1627.78351483593,1381,0.26631247012188,0.276504758762685,0.234584678104298,0.0796812749003984
"YHR183W",4282.39199255121,2724,2946.40085148065,4706.75,0.688026891654388,1.08164495281962,1.72788179148311,0
"YJR104C",4553.85257301808,3540,2204.40420276675,3441.5,0.484074564870195,0.622713051629025,0.972175141242938,0.000695410292072323
"YIL053W",1233.91460674157,972.5,606.260335581641,908,0.491330868659223,0.623403944042819,0.933676092544987,0.00224719101123596
"YDR033W",713.89703989704,737,382.405027902273,626,0.535658514507112,0.518867066353151,0.849389416553596,0.00514800514800515
"YJR076C",117.291214215202,113,36.1097784349757,47,0.307864307455481,0.319555561371467,0.415929203539823,0.018756169792695
"YGL008C",1274.02339181287,1159.5,922.789701013071,653.5,0.724311427045301,0.795851402339863,0.563605002156102,0.0730994152046784
"YEL017C-A",1025.91154422789,829,499.388445492239,509,0.486775344621047,0.602398607348902,0.613992762364294,0.0764617691154423
"YKL152C",9617.13030528667,8969,3131.91264633763,2064.5,0.325659791114192,0.349193070168093,0.230181737094436,0.0908413998510797
"YMR235C",269.603566529492,255,79.2789955549848,55,0.294057666133702,0.310898021784254,0.215686274509804,0.0912208504801097
"YBL039C",771.287716955941,699.5,259.692651434498,359,0.336700100008636,0.371254683966401,0.513223731236598,0.0106809078771696
"YGL253W",2175.23104693141,1961,1098.08378174719,1543.25,0.504812481090804,0.559961132966441,0.786970933197348,0
"YMR120C",146.94438722966,139,51.9714481606576,54,0.353681070372774,0.373895310508328,0.388489208633094,0.0329557157569516
"YPL048W",680.341630367144,555,316.395672099222,309,0.465054111018431,0.570082292070671,0.556756756756757,0.0821406347230865
"YNL287W",172.866314199396,176,55.5594738138431,51,0.321401390844471,0.315678828487745,0.289772727272727,0.118580060422961
"YIL076W",223.929702970297,214,115.224665317084,110.75,0.514557308783497,0.538433015500392,0.517523364485981,0.0306930693069307
"YER036C",1020.76572847682,878,363.958785121212,446.75,0.356554667704517,0.414531645923932,0.508826879271071,0.021523178807947
"YML008C",287.094582975064,288,123.557527682657,195.5,0.430372201391862,0.429019193342559,0.678819444444444,0.0103181427343078
"YGR200C",73.0190597204574,66,21.6526563238661,23,0.296534307710343,0.328070550361607,0.348484848484849,0.0616264294790343
"YPR125W",45.0716952949963,41,16.5142307896478,17,0.366399148768677,0.402786116820679,0.414634146341463,0.0380881254667662
"YER168C",90.5356576862124,79,28.5051283754125,40,0.314849741018157,0.360824409815348,0.506329113924051,0.00396196513470681
"YIR026C",52.8518288902666,62,24.4163074891546,48,0.461976586275734,0.393811411115397,0.774193548387097,0.000619962802231866
"YDR091C",416.988173455979,338,175.054002786634,285.5,0.419805677786481,0.517911250848029,0.844674556213018,0
"YNL121C",106.584951456311,90,68.6229743997098,66.25,0.643833613114122,0.762477493330109,0.736111111111111,0.0453074433656958
"YPL086C",84.2644124168514,88,34.1116147415472,27,0.404816384083935,0.3876319856994,0.306818181818182,0.202328159645233
"YJR121W",174.485011529593,151,126.651742244765,143,0.725860296735489,0.838753259899108,0.947019867549669,0.0445810914681015
"YGR123C",138.610921501706,146,54.8759295156097,44,0.395899031050985,0.375862530928834,0.301369863013699,0.159726962457338
"YLR384C",148.382133995037,147,31.8654118545855,34.25,0.214752349198936,0.216771509214867,0.232993197278912,0.0310173697270471
"YER139C",34.972487366648,35,6.16558279233049,6,0.176298091916973,0.1761595083523,0.171428571428571,0.051656372824256
"YER143W",67.8259236067627,60,20.9293717232146,29,0.308574813437967,0.348822862053577,0.483333333333333,0.010644959298685
"YNL016W",496.719314079422,604,344.274844651846,684,0.693097358796882,0.569991464655375,1.13245033112583,0
"YPL160W",842.334344660194,767,289.893624918036,185,0.344155057615491,0.377957789984402,0.241199478487614,0.121966019417476
"YER177W",1958.31301939058,1742,682.191977057184,433,0.348356963520305,0.391614223339371,0.248564867967853,0.1398891966759
"YGL105W",959.950762016413,957,134.779605926544,166,0.140402624029835,0.140835533883536,0.173458725182863,0.018757327080891
"YAL005C",621.384537131231,622,205.38710320737,192,0.330531403558235,0.330204345992556,0.308681672025723,0.064089521871821
"YMR309C",570.029684601113,584,128.89342824912,189,0.226117045710199,0.22070792508411,0.323630136986301,0.00556586270871985
"YOR298C-A",1168.73954983923,1171,195.760837251906,251,0.167497401177905,0.16717407109471,0.214346712211785,0.0144694533762058
"YBL032W",233.971916971917,206,73.149981191226,112,0.312644278586673,0.355096996073913,0.543689320388349,0.00122100122100122
"YOR027W",1147.5318627451,1065,351.983642905591,292,0.306731041056746,0.330501073150789,0.274178403755869,0.10171568627451
"YHR064C",1031.32097725358,931,347.13669145286,237.5,0.336594231193948,0.372864330239377,0.255102040816327,0.140690817186184
"YFR053C",241.960372960373,177,173.897972517225,195.75,0.718704349764354,0.982474421001274,1.10593220338983,0.0501165501165501
"YGR264C",620.557534246575,585.5,224.492722113608,155,0.361759723675205,0.383420533071918,0.264730999146029,0.161643835616438
"YPL240C",656.457050243112,584,258.0607093825,179,0.393111338033356,0.441884776339897,0.306506849315068,0.100486223662885
"YBR121C",1091.59860788863,939.5,406.893815433594,440.5,0.372750397896354,0.433096131382218,0.46886641830761,0.0568445475638051
"YFR032C-A",6920.92913385827,5964,2324.75062188627,3508.5,0.335901520868524,0.389797220302862,0.58827967806841,0
"YBR025C",845.873462214411,917,357.805597557551,220,0.423001327670042,0.39019149133866,0.239912758996728,0.157000585823081
"YPL106C",1521.27053140097,1218,673.071978309185,1036,0.442440686528872,0.552604251485373,0.850574712643678,0.00322061191626409
"YOR335C",778.819343065693,665,276.614969155342,334,0.355172186744224,0.415962359632093,0.502255639097744,0.0200729927007299
"YLR150W",2525.99776119403,2464,547.385260666274,528,0.216700611962351,0.222153109036637,0.214285714285714,0.0350746268656716
"YIL078W",596.970996216898,595,86.1147954541045,112,0.144252896706587,0.144730748662361,0.188235294117647,0.0138713745271122
"YPR035W",764.034108527132,456,639.0056391843,245,0.836357476783523,1.40132815610592,0.537280701754386,0.235658914728682
"YOR361C",374.141190198366,371,66.1371408300956,72,0.176770541610322,0.178267225957131,0.194070080862534,0.0303383897316219
"YGR254W",630.355882352941,577,497.221642668424,538.25,0.788795118104452,0.86173594916538,0.932842287694974,0.0598039215686275
"YER023W",766.506683640993,802,303.372874644307,550.5,0.395786339661451,0.378270417262228,0.68640897755611,0
"YER178W",191.4,166,107.696777767405,114.25,0.562679089693861,0.648775769683163,0.688253012048193,0.0476415094339623
"YCL057W",158.272493573265,139,54.9057304310877,40,0.346906333447458,0.395005254899912,0.287769784172662,0.158526135389889
"YLR216C",510.295615275813,463,196.752174456984,315,0.385565089268188,0.424950700771024,0.680345572354212,0.00141442715700141
"YOR187W",136.301351351351,125,59.301411222687,66.25,0.435075739416718,0.474411289781496,0.53,0.0418918918918919
"YFR040W",62.6275362318841,63.5,10.0967221406206,12,0.161218574897095,0.159003498277489,0.188976377952756,0.0173913043478261
"YPR191W",124.70626349892,102.5,74.9702795431645,75.75,0.601174932515027,0.731417361396726,0.739024390243902,0.0572354211663067
"YPR072W",90.2660714285714,87,18.9193932569273,14.25,0.209595842130987,0.217464290309509,0.163793103448276,0.0785714285714286
"YGR159C",531.331797235023,534,92.5294136589126,116,0.174146200435251,0.173276055541035,0.217228464419476,0.0221198156682028
"YNL153C",224.493723849372,249,71.4116520207894,133,0.318100884052795,0.286793783216022,0.534136546184739,0
"YLR175W",72.0012453300125,64,33.3237912127561,24,0.462822428417994,0.520684237699314,0.375,0.0759651307596513
"YJL098W",54.5364372469636,52,11.5735473926256,15,0.212216785269925,0.222568219088954,0.288461538461538,0.0172064777327935
"YDR398W",45.7855297157623,44,11.398828341837,12,0.248961373005865,0.259064280496296,0.272727272727273,0.0381136950904393
"YML057W",81.3152542372881,72,23.3730576434942,27,0.287437552310772,0.324625800604087,0.375,0.0429378531073446
"YGL078C",55.6652892561983,51,25.62573236065,17,0.460353888447576,0.502465340404902,0.333333333333333,0.0661157024793388
"YOL097C",349.476005188067,318,104.581070933163,85.5,0.299251076985624,0.328871292242651,0.268867924528302,0.137483787289235
"YHR052W",58.4938016528926,48.5,34.7550144107395,25,0.594165765066508,0.71659823527298,0.515463917525773,0.0795454545454545
"YLR060W",586.172492401216,524,219.984558469885,158.25,0.375289801759091,0.419817859675352,0.302003816793893,0.193768996960486
"YJL190C",433.162127107652,428,105.057317281713,129,0.24253578673466,0.245461021686246,0.301401869158879,0.012970168612192
"YPL145C",289.060869565217,280,61.2534344603874,45,0.211904968502032,0.218762265929955,0.160714285714286,0.0728260869565217
"YPL028W",89.35140562249,68,76.3294038855258,44,0.854260807132882,1.12249123361067,0.647058823529412,0.0893574297188755
