Node 1,Node 2,Weight
1213,0,1
288,1,1
613,1,-1
707,1,-1
826,1,1
1131,1,1
1330,1,1
1424,1,1
1625,1,1
1688,1,1
2020,1,1
826,2,1
1131,2,1
1194,2,1
1330,2,1
1403,2,1
1625,2,-1
1688,2,-1
1787,2,1
2020,2,1
2226,2,1
288,3,1
707,3,1
1330,3,1
1383,3,-1
1787,3,1
273,4,1
1194,4,1
1330,4,1
1422,4,1
489,5,1
753,5,1
1177,5,1
1212,5,1
1330,5,1
1967,5,1
2104,5,1
2226,5,1
2335,5,1
753,6,1
1330,6,1
273,7,1
613,7,1
273,8,1
1077,8,1
1330,8,1
1422,8,1
1625,8,-1
1787,8,1
2312,8,1
444,9,1
797,9,1
1587,9,-1
1688,9,1
1793,9,1
288,10,1
707,10,1
1194,10,1
1330,10,1
1787,10,1
1793,10,1
2020,10,1
105,11,1
1330,11,1
1688,11,1
1787,11,-1
273,12,1
1330,12,1
273,13,1
2020,13,1
273,14,1
1403,14,-1
1777,14,1
1787,14,1
826,15,1
1330,15,1
1787,15,1
2020,15,1
42,16,1
613,16,1
1422,16,1
1625,16,1
1688,16,1
1946,16,1
2020,16,1
826,17,1
1131,17,1
1330,17,1
1403,17,1
2016,17,1
2020,17,1
2226,17,1
2303,17,1
2348,17,1
2470,17,1
258,18,1
273,18,1
1077,18,1
1330,18,1
1403,18,1
1424,18,1
1787,18,1
1793,18,1
444,19,1
1330,19,1
1625,19,1
1711,19,1
1923,19,1
1424,20,1
2392,20,1
1424,21,1
2226,21,1
613,22,-1
1194,22,1
1330,22,1
1422,22,1
1424,22,1
1511,22,1
1625,22,1
1688,22,1
1711,22,1
2020,22,1
613,23,1
1330,23,1
1422,23,1
1711,23,1
1777,23,1
826,25,1
1511,25,1
1787,25,1
1838,25,1
1923,25,1
2355,25,1
467,26,1
474,26,1
1424,26,1
1889,26,1
2020,26,1
474,27,1
1688,27,1
105,28,-1
273,28,1
826,28,1
1096,28,-1
1194,28,1
1422,28,1
1511,28,1
1787,28,1
2020,28,1
2226,28,1
2485,28,1
1077,29,1
1511,29,1
1777,29,1
1787,29,1
1838,29,1
1923,29,1
2485,29,1
209,30,1
1131,30,1
2523,30,1
613,31,1
797,31,1
1077,31,1
1330,31,1
1422,31,-1
1688,31,1
1330,32,1
2437,32,1
273,33,1
288,33,1
1625,33,1
288,34,1
1455,34,1
120,35,1
314,35,1
1422,35,1
1424,35,1
1511,35,1
1625,35,1
1711,35,1
1787,35,1
2020,35,1
288,36,-1
568,36,1
1511,36,1
1720,36,1
1793,36,1
273,37,1
1077,37,1
1330,37,1
1625,37,1
1711,37,1
1777,37,1
1787,37,1
1711,38,1
273,39,1
797,39,1
1330,39,1
1424,39,-1
1625,39,1
1787,39,1
288,40,1
707,40,1
1001,40,1
1212,40,1
1787,40,1
2020,40,1
2335,40,1
288,41,1
707,41,1
1001,41,1
1212,41,1
1720,41,1
1787,41,1
1967,41,1
2020,41,1
1424,43,1
1787,43,1
826,44,1
2020,44,1
436,45,1
474,45,1
1330,45,1
1403,45,1
1422,45,1
1777,45,1
1787,45,1
1889,45,1
2020,46,1
1390,47,1
2020,47,1
273,49,1
1330,50,1
1625,50,1
1688,50,1
273,51,1
