ID,Gene
0,Q0050
1,YAL003W
2,YAL005C
3,YAL007C
4,YAL008W
5,YAL012W
6,YAL013W
7,YAL014C
8,YAL016W
9,YAL022C
10,YAL023C
11,YAL025C
12,YAL030W
13,YAL033W
14,YAL034C
15,YAL035W
16,YAL036C
17,YAL038W
18,YAL039C
19,YAL040C
20,YAL041W
21,YAL042W
22,YAL044C
23,YAL049C
24,YAL051W
25,YAL053W
26,YAL054C
27,YAL059W
28,YAL060W
29,YAL061W
30,YAL062W
31,YAR002W
32,YAR003W
33,YAR007C
34,YAR008W
35,YAR015W
36,YAR018C
37,YAR027W
38,YAR031W
39,YBL001C
40,YBL002W
41,YBL003C
42,YBL005W
43,YBL007C
44,YBL011W
45,YBL015W
46,YBL017C
47,YBL018C
48,YBL021C
49,YBL022C
50,YBL024W
51,YBL026W
52,YBL027W
53,YBL028C
54,YBL030C
55,YBL032W
56,YBL033C
57,YBL036C
58,YBL038W
59,YBL039C
60,YBL040C
61,YBL041W
62,YBL042C
63,YBL045C
64,YBL051C
65,YBL056W
66,YBL057C
67,YBL064C
68,YBL068W
69,YBL072C
70,YBL076C
71,YBL078C
72,YBL087C
73,YBL091C
74,YBL092W
75,YBL093C
76,YBL099W
77,YBL102W
78,YBL103C
79,YBR001C
80,YBR005W
81,YBR006W
82,YBR009C
83,YBR010W
84,YBR011C
85,YBR014C
86,YBR015C
87,YBR016W
88,YBR017C
89,YBR021W
90,YBR024W
91,YBR025C
92,YBR026C
93,YBR029C
94,YBR031W
95,YBR034C
96,YBR035C
97,YBR036C
98,YBR037C
99,YBR038W
100,YBR039W
101,YBR041W
102,YBR043C
103,YBR046C
104,YBR048W
105,YBR049C
106,YBR050C
107,YBR052C
108,YBR053C
109,YBR056W
110,YBR057C
111,YBR067C
112,YBR068C
113,YBR070C
114,YBR071W
115,YBR072W
116,YBR078W
117,YBR079C
118,YBR080C
119,YBR082C
120,YBR083W
121,YBR086C
122,YBR087W
123,YBR088C
124,YBR093C
125,YBR101C
126,YBR103W
127,YBR104W
128,YBR105C
129,YBR106W
130,YBR109C
131,YBR110W
132,YBR111C
133,YBR115C
134,YBR118W
135,YBR121C
136,YBR122C
137,YBR126C
138,YBR127C
139,YBR129C
140,YBR130C
141,YBR135W
142,YBR137W
143,YBR139W
144,YBR143C
145,YBR145W
146,YBR146W
147,YBR147W
148,YBR149W
149,YBR151W
150,YBR153W
151,YBR154C
152,YBR158W
153,YBR159W
154,YBR160W
155,YBR162C
156,YBR165W
157,YBR166C
158,YBR167C
159,YBR169C
160,YBR171W
161,YBR172C
162,YBR173C
163,YBR177C
164,YBR181C
165,YBR182C
166,YBR183W
167,YBR185C
